timestamp,currency,high,low
2021-04-29T23:15:00+00:00,USDT,1.0019348800209437744257456870400346815586090087890625,1.0019348800209437744257456870400346815586090087890625
2021-05-01T23:45:00+00:00,USDT,1.00044419379865967556497707846574485301971435546875,1.00044419379865967556497707846574485301971435546875
2021-05-02T23:15:00+00:00,USDT,0.99913471025293498772867906154715456068515777587890625,0.99913471025293498772867906154715456068515777587890625
2021-05-01T23:45:00+00:00,BTC,57890.68045183600042946636676788330078125,57890.68045183600042946636676788330078125
2021-05-26T23:45:00+00:00,USDT,1.0023744848095674786492281782557256519794464111328125,1.0023744848095674786492281782557256519794464111328125
2021-05-27T23:15:00+00:00,USDT,0.99686062231426653124088943513925187289714813232421875,0.99686062231426653124088943513925187289714813232421875
2021-06-01T23:45:00+00:00,USDT,1.0023371620794596648096330682164989411830902099609375,1.0023371620794596648096330682164989411830902099609375
2021-06-02T23:15:00+00:00,USDT,0.99947273859390139971736743973451666533946990966796875,0.99947273859390139971736743973451666533946990966796875
2021-06-01T23:45:00+00:00,ETH,2643.5500000000001818989403545856475830078125,2643.5500000000001818989403545856475830078125
2021-06-26T23:45:00+00:00,USDT,1.0050873750199975642516392326797358691692352294921875,1.0050873750199975642516392326797358691692352294921875
2021-06-27T23:15:00+00:00,USDT,1.0084677735653981844876625473261810839176177978515625,1.0084677735653981844876625473261810839176177978515625
2021-06-26T23:15:00+00:00,BTC,31879.0400000000008731149137020111083984375,31879.0400000000008731149137020111083984375
2021-06-27T23:15:00+00:00,BTC,34534.580000000001746229827404022216796875,34534.580000000001746229827404022216796875
2021-07-29T23:45:00+00:00,BTC,40295.9000000000014551915228366851806640625,40295.9000000000014551915228366851806640625
2021-07-30T23:15:00+00:00,BTC,41506.330000000001746229827404022216796875,41506.330000000001746229827404022216796875
2021-07-30T23:45:00+00:00,ETH,2439.329999999999927240423858165740966796875,2439.329999999999927240423858165740966796875
2021-07-31T23:15:00+00:00,ETH,2543.88675974417901670676656067371368408203125,2543.88675974417901670676656067371368408203125
2021-08-02T23:45:00+00:00,ETH,2623.7048326468584491522051393985748291015625,2623.7048326468584491522051393985748291015625
2021-08-03T23:15:00+00:00,ETH,2530.264945513305065105669200420379638671875,2530.264945513305065105669200420379638671875
2021-08-02T23:45:00+00:00,USDT,1.00134747781077582118314239778555929660797119140625,1.00134747781077582118314239778555929660797119140625
2021-08-03T23:15:00+00:00,USDT,1.0027591970796601028581562786712311208248138427734375,1.0027591970796601028581562786712311208248138427734375
2021-08-13T23:45:00+00:00,USDT,0.99944774522868085053772801984450779855251312255859375,0.99944774522868085053772801984450779855251312255859375
2021-08-14T23:15:00+00:00,USDT,1.0000877281275688535089329889160580933094024658203125,1.0000877281275688535089329889160580933094024658203125
2021-08-13T23:45:00+00:00,BTC,47799.9721162026035017333924770355224609375,47799.9721162026035017333924770355224609375
2021-08-28T23:45:00+00:00,XCH,244.263639999999981000655679963529109954833984375,244.263639999999981000655679963529109954833984375
2021-08-29T23:15:00+00:00,XCH,244.21927999999996927726897411048412322998046875,244.21927999999996927726897411048412322998046875
2021-08-29T23:45:00+00:00,ETH,3235.72421193304262487799860537052154541015625,3235.72421193304262487799860537052154541015625
2021-10-02T23:45:00+00:00,ETH,3383.8987999999999374267645180225372314453125,3383.8987999999999374267645180225372314453125
2021-10-03T23:15:00+00:00,ETH,3419.92055000000027575879357755184173583984375,3419.92055000000027575879357755184173583984375
2021-10-05T23:45:00+00:00,BTC,51595.1516938994536758400499820709228515625,51595.1516938994536758400499820709228515625
2021-10-06T23:15:00+00:00,BTC,55556.803944544561090879142284393310546875,55556.803944544561090879142284393310546875
2021-10-05T23:45:00+00:00,USDT,1.0021832572485405155049420500290580093860626220703125,1.0021832572485405155049420500290580093860626220703125
2021-10-06T23:15:00+00:00,USDT,1.00316841104403575712922247475944459438323974609375,1.00316841104403575712922247475944459438323974609375
2021-10-07T23:45:00+00:00,BTC,53778.40270469593815505504608154296875,53778.40270469593815505504608154296875
2021-10-08T23:15:00+00:00,BTC,54053.320883333333767950534820556640625,54053.320883333333767950534820556640625
2021-10-21T23:45:00+00:00,USDT,0.99573048190833046700021213837317191064357757568359375,0.99573048190833046700021213837317191064357757568359375
